object_id,name,category,train_freq,rot_sym,rot_naive,trans_cm,size_rel
4286,steamed_bun_041,steamed_bun,78,78.5432,79.8295,1.7310,0.0326
3051,orange_036,orange,59,91.6923,131.5509,20.7890,0.0565
2113,hamburger_054,hamburger,49,1.2069,105.5224,3.4951,0.0920
3054,ornament_002,ornament,56,90.8120,90.8120,16.3350,0.0418
584,bread_148,bread,100,143.6345,143.6345,0.9887,0.0114
2413,joystick_001,joystick,81,5.0485,5.0485,2.1727,0.0396
3692,power_strip_032,power_strip,80,7.4870,7.4870,35.0163,0.0147
2216,handbag_044,handbag,109,158.5144,158.5144,9.4379,0.0136
838,cake_008,cake,58,67.2200,67.2200,3.4975,0.0576
2682,lotus_root_026,lotus_root,84,177.5367,178.8632,2.3944,0.0362
1542,doll_075,doll,50,173.0028,173.0028,10.3527,0.0972
423,box_040,box,89,47.9943,142.5571,3.8584,0.0382
650,broccoli_003,broccoli,63,19.2741,86.6823,7.1360,0.0389
1462,dish_012,dish,54,87.7254,87.7254,24.2764,0.0961
79,apple_045,apple,54,31.0525,31.0525,4.7117,0.0251
1026,cheese_030,cheese,83,61.9990,74.5575,0.5485,0.0284
3059,ornaments_001,ornaments,101,5.8494,5.8494,6.4769,0.0821
3984,sausage_075,sausage,76,73.1439,177.7420,17.0230,0.0091
269,biscuit_010,biscuit,56,158.4944,158.4944,12.0722,0.0140
4391,sweet_potato_001,sweet_potato,57,8.4836,60.9869,8.8398,0.0166
1979,gloves_013,gloves,70,7.0241,7.0241,3.5689,0.0148
610,bread_174,bread,87,88.3516,169.8884,8.7933,0.0340
1469,doll_001,doll,94,13.3302,13.3303,11.8423,0.0505
559,bread_115,bread,61,162.8753,178.1594,1.1923,0.0210
540,bread_090,bread,78,59.4459,121.0870,5.9406,0.0308
3180,pastry_022,pastry,61,9.3488,56.3909,9.3843,0.0131
334,book_011,book,107,3.1500,179.2641,2.0858,0.0318
1841,fire_extinguisher_001,fire_extinguisher,103,146.2654,146.2654,4.0138,0.0206
203,banana_012,banana,73,107.1710,107.1710,12.9127,0.0443
838,cake_008,cake,58,36.4144,36.4144,1.7908,0.0140
559,bread_115,bread,61,151.9202,176.0554,2.2680,0.0652
2175,hand_cream_020,hand_cream,78,2.0952,178.9626,9.8372,0.0541
3778,red_jujube_002,red_jujube,28,143.1803,155.5046,1.1759,0.0859
3843,remote_control_030,remote_control,69,133.1152,133.1152,9.1751,0.0283
4506,teapot_016,teapot,108,17.6667,17.6667,4.1308,0.0167
3180,pastry_022,pastry,61,6.5465,62.3969,1.8276,0.0757
2413,joystick_001,joystick,81,18.5137,18.5137,2.1213,0.0119
808,burrito_002,burrito,102,48.1455,175.7118,4.4410,0.0372
2335,hot_dog_068,hot_dog,67,15.6103,178.6729,12.3705,0.1196
4074,shoe_015,shoe,101,19.4729,19.4729,3.7371,0.0179
742,bucket_noodle_011,bucket_noodle,113,33.9025,34.2294,20.3552,0.0225
756,bucket_noodle_026,bucket_noodle,63,11.2227,11.2227,10.7700,0.0447
3134,pan_003,pan,128,102.2211,102.2211,10.0528,0.0163
2979,nipple_006,nipple,52,108.5422,108.5422,26.7118,0.0302
4699,tooth_paste_013,tooth_paste,96,14.3391,14.3391,21.0398,0.0288
5130,waffle_015,waffle,70,165.5441,177.7880,7.7631,0.0326
36,antique_019,antique,57,46.0650,46.0650,4.6148,0.0680
3506,plant_006,plant,106,12.6585,46.1555,10.1442,0.0207
2211,handbag_039,handbag,85,12.4368,12.4368,5.3928,0.0306
4857,toy_bus_029,toy_bus,79,6.4790,6.4790,2.1718,0.0589
745,bucket_noodle_014,bucket_noodle,71,3.8578,6.1820,3.9153,0.0162
2152,hammer_019,hammer,89,158.6499,158.6499,8.0597,0.0266
5316,yam_003,yam,91,6.5803,103.2291,4.3614,0.0564
5191,wallet_045,wallet,109,10.3643,10.3643,1.0770,0.0257
4345,suitcase_006,suitcase,104,168.9680,177.2465,24.5941,0.0295
2351,hot_dog_084,hot_dog,59,43.0943,137.7827,7.4221,0.0248
4799,toy_boat_025,toy_boat,57,179.7634,179.7634,3.8199,0.0084
695,brush_009,brush,68,22.5222,22.5222,19.5086,0.2027
1662,durian_007,durian,69,142.1469,142.1469,12.8849,0.0593
3305,pie_005,pie,77,13.7542,13.7542,3.7616,0.0545
2589,lipstick_008,lipstick,57,8.1047,177.8858,5.6469,0.0520
752,bucket_noodle_022,bucket_noodle,76,2.8013,91.0160,3.5779,0.0110
3506,plant_006,plant,106,11.2085,64.7646,1.0097,0.0221
4990,toy_train_005,toy_train,63,14.8697,14.8697,4.2842,0.0738
838,cake_008,cake,58,127.7833,127.7833,19.5377,0.1006
2322,hot_dog_053,hot_dog,91,81.4527,81.4527,26.4637,0.0996
4271,steamed_bun_017,steamed_bun,77,25.4808,101.3132,5.2518,0.0490
5082,umbrella_002,umbrella,116,152.7993,167.7999,9.5836,0.0413
4499,teapot_009,teapot,119,19.0034,19.0034,11.9886,0.0641
79,apple_045,apple,54,100.7755,100.7755,9.2106,0.0505
946,carrot_012,carrot,110,3.4321,165.9259,5.8747,0.0203
1192,clock_011,clock,90,65.4567,65.4567,8.5657,0.0328
3540,pomegranate_025,pomegranate,57,8.2956,60.5351,4.2302,0.0100
3026,orange_011,orange,73,17.9087,83.0345,2.8668,0.0370
1739,egg_036,egg,49,7.4424,133.8366,4.6551,0.0220
756,bucket_noodle_026,bucket_noodle,63,14.9741,87.4535,3.6641,0.1056
3495,pizza_027,pizza,71,5.5364,5.8178,3.7121,0.0449
1129,china_001,china,90,129.1843,129.1843,3.6319,0.0235
2795,medicine_bottle_006,medicine_bottle,115,4.2522,178.8061,1.5130,0.0067
616,bread_180,bread,85,16.5242,176.2135,14.2053,0.0070
4449,table_tennis_bat_003,table_tennis_bat,78,6.8303,174.0847,3.0344,0.0164
5332,yam_020,yam,96,2.2621,120.8487,2.4171,0.0220
1524,doll_057,doll,51,172.7769,172.7769,20.5272,0.0407
2037,hair_dryer_037,hair_dryer,73,14.1134,14.1134,8.4773,0.0634
3378,pineapple_008,pineapple,86,3.8879,145.4051,3.4193,0.0203
4967,toy_plane_022,toy_plane,50,30.8142,30.8142,14.3367,0.0394
1462,dish_012,dish,54,8.8645,176.4830,4.0936,0.0223
4611,tissue_030,tissue,74,163.3497,163.3497,21.4932,0.0699
4550,thimble_009,thimble,49,4.8528,141.2944,18.3685,0.1611
610,bread_174,bread,87,97.9739,122.7900,10.4798,0.0313
4056,shaomai_015,shaomai,27,29.6175,70.2533,6.0006,0.0310
4939,toy_motorcycle_034,toy_motorcycle,99,18.2348,18.2348,6.5943,0.0190
4729,toy_animals_013,toy_animals,137,9.2348,9.2349,4.0295,0.0297
1374,cup_012,cup,80,175.4625,175.4625,4.9782,0.0213
5115,vase_015,vase,70,48.2229,90.0547,10.4400,0.0141
756,bucket_noodle_026,bucket_noodle,63,3.0811,105.3839,11.3671,0.0335
3343,pillow_011,pillow,126,3.0209,179.8123,5.7406,0.0327
3802,red_wine_glass_010,red_wine_glass,81,68.7715,73.4260,2.9295,0.0245
5146,waffle_031,waffle,69,7.9038,178.8523,10.9644,0.0086
2029,hair_dryer_029,hair_dryer,114,171.5940,171.5940,8.0559,0.0327
5093,umbrella_013,umbrella,101,4.6298,59.4266,3.5506,0.0185
1431,dinosaur_014,dinosaur,74,175.4152,175.4152,2.0851,0.0550
3699,projector_004,projector,95,60.4094,60.4094,9.6778,0.0843
1945,glasses_004,glasses,113,61.5381,61.5381,12.0583,0.0386
1540,doll_073,doll,23,54.0591,54.0591,7.5091,0.2479
1947,glasses_case_001,glasses_case,105,64.4411,64.4411,29.6003,0.1001
808,burrito_002,burrito,102,57.3725,59.5481,2.5902,0.0313
2667,lotus_root_011,lotus_root,80,23.0448,37.1239,11.3649,0.0429
2677,lotus_root_021,lotus_root,84,98.9736,176.3439,27.3042,0.0200
2152,hammer_019,hammer,89,176.8152,176.8152,10.8721,0.0136
2795,medicine_bottle_006,medicine_bottle,115,106.1327,106.1327,31.0934,0.0104
4449,table_tennis_bat_003,table_tennis_bat,78,15.9497,177.3504,4.6587,0.0413
3305,pie_005,pie,77,3.9487,3.9487,0.3830,0.0101
4904,toy_car_012,toy_car,69,17.2615,17.2615,1.2967,0.0331
1552,doll_085,doll,133,67.8785,67.8785,6.8367,0.0184
5082,umbrella_002,umbrella,116,21.2475,75.2214,26.4055,0.0785
3262,pear_017,pear,93,170.7964,170.9230,5.8456,0.0266
3516,plug_002,plug,80,28.0272,170.1710,35.7743,0.0704
2211,handbag_039,handbag,85,47.7454,47.7454,8.3799,0.0412
4611,tissue_030,tissue,74,22.1775,158.6413,7.8486,0.0252
4835,toy_bus_007,toy_bus,76,64.7746,64.7746,14.1509,0.0844
343,book_022,book,71,4.1710,4.1710,1.9702,0.0259
776,bun_007,bun,83,78.2008,79.3722,6.5769,0.0196
3289,phone_shell_001,phone_shell,60,87.4658,87.4658,12.6633,0.0879
2073,hamburger_009,hamburger,88,76.6697,133.9922,21.3471,0.0331
5093,umbrella_013,umbrella,101,4.3767,52.6936,14.6136,0.0311
1808,eraser_029,eraser,53,23.4881,175.1166,16.4579,0.0267
2668,lotus_root_012,lotus_root,66,175.3398,176.3530,7.1419,0.0248
2120,hami_melon_004,hami_melon,76,9.3504,114.1924,1.9749,0.0258
